"","Date","Time","lat","lng","Wind","Pressure","Storm Type","Category","Category_chr","Name"
"112","Sep 10","22:00 GMT",26.3,-81.7,"110 mph","938 mb","Hurricane","2","Two","Irma"
"113","Sep 10","23:00 GMT",26.6,-81.7,"110 mph","940 mb","Hurricane","2","Two","Irma"
"114","Sep 11","00:00 GMT",26.7,-81.7,"105 mph","942 mb","Hurricane","2","Two","Irma"
"115","Sep 11","01:00 GMT",27.1,-81.8,"105 mph","942 mb","Hurricane","2","Two","Irma"
"116","Sep 11","02:00 GMT",27.3,-81.9,"105 mph","948 mb","Hurricane","2","Two","Irma"
"117","Sep 11","03:00 GMT",27.5,-81.9,"100 mph","952 mb","Hurricane","2","Two","Irma"
"118","Sep 11","04:00 GMT",27.7,-81.9,"100 mph","952 mb","Hurricane","2","Two","Irma"
"119","Sep 11","05:00 GMT",27.9,-82.1,"100 mph","952 mb","Hurricane","2","Two","Irma"
"120","Sep 11","06:00 GMT",28.2,-82.2,"85 mph","960 mb","Hurricane","1","One","Irma"
"121","Sep 11","09:00 GMT",28.9,-82.6,"75 mph","965 mb","Hurricane","1","One","Irma"
"122","Sep 11","12:00 GMT",29.5,-82.9,"70 mph","970 mb","Tropical Storm","-","None","Irma"
"123","Sep 11","15:00 GMT",30.3,-83.1,"65 mph","975 mb","Tropical Storm","-","None","Irma"
"124","Sep 11","18:00 GMT",30.8,-83.6,"60 mph","980 mb","Tropical Storm","-","None","Irma"
"125","Sep 05","15:00 GMT",12.3,-39.1,"40 mph","1008 mb","Tropical Storm","-","None","Jose"
"126","Sep 05","21:00 GMT",12.5,-40.6,"45 mph","1006 mb","Tropical Storm","-","None","Jose"
"127","Sep 06","03:00 GMT",12.3,-41.7,"50 mph","1004 mb","Tropical Storm","-","None","Jose"
"128","Sep 06","09:00 GMT",12.5,-42.8,"60 mph","1002 mb","Tropical Storm","-","None","Jose"
"129","Sep 06","15:00 GMT",13.1,-44.5,"70 mph","998 mb","Tropical Storm","-","None","Jose"
"130","Sep 06","21:00 GMT",13.9,-45.8,"75 mph","994 mb","Hurricane","1","One","Jose"
"131","Sep 07","03:00 GMT",14.4,-47.5,"85 mph","989 mb","Hurricane","1","One","Jose"
"132","Sep 07","09:00 GMT",14.8,-49.1,"90 mph","986 mb","Hurricane","1","One","Jose"
"133","Sep 07","15:00 GMT",14.9,-50.6,"90 mph","986 mb","Hurricane","1","One","Jose"
"134","Sep 07","18:00 GMT",15.2,-51.4,"105 mph","978 mb","Hurricane","2","Two","Jose"
"135","Sep 07","21:00 GMT",15.5,-52.4,"120 mph","966 mb","Hurricane","3","Three","Jose"
"136","Sep 08","00:00 GMT",15.6,-53.2,"120 mph","966 mb","Hurricane","3","Three","Jose"
"137","Sep 08","00:10 GMT",15.6,-53.2,"120 mph","966 mb","Hurricane","3","Three","Jose"
"138","Sep 08","03:00 GMT",15.6,-53.9,"120 mph","966 mb","Hurricane","3","Three","Jose"
"139","Sep 08","06:00 GMT",15.8,-54.4,"120 mph","966 mb","Hurricane","3","Three","Jose"
"140","Sep 08","09:00 GMT",16,-55.3,"125 mph","957 mb","Hurricane","3","Three","Jose"
"141","Sep 08","12:00 GMT",16.1,-56.2,"125 mph","957 mb","Hurricane","3","Three","Jose"
"142","Sep 08","14:00 GMT",16.2,-56.9,"150 mph","942 mb","Hurricane","4","Four","Jose"
"143","Sep 08","15:00 GMT",16.3,-57.1,"150 mph","942 mb","Hurricane","4","Four","Jose"
"144","Sep 08","18:00 GMT",16.4,-57.7,"150 mph","940 mb","Hurricane","4","Four","Jose"
"145","Sep 08","21:00 GMT",16.6,-58.3,"150 mph","940 mb","Hurricane","4","Four","Jose"
"146","Sep 09","00:00 GMT",16.7,-58.8,"150 mph","938 mb","Hurricane","4","Four","Jose"
