"","Date","Location","Team","Points","Game_Number","Total_points","Cumulative_points"
"724",2017-05-13,"Away","Swansea",3,37,41,38
"725",2017-05-14,"Home","Crystal Palace",3,37,41,41
"749",2017-05-21,"Home","Swansea",3,38,41,41
"757",2017-05-21,"Away","Crystal Palace",0,38,41,41
"1",2016-08-13,"Home","Burnley",0,1,40,0
"14",2016-08-13,"Away","Watford",1,1,40,1
"23",2016-08-20,"Home","Burnley",3,2,40,3
"28",2016-08-20,"Home","Watford",0,2,40,1
"48",2016-08-27,"Home","Watford",0,3,40,1
"49",2016-08-27,"Away","Burnley",0,3,40,3
"63",2016-09-10,"Home","Burnley",1,4,40,4
"76",2016-09-10,"Away","Watford",3,4,40,4
"90",2016-09-17,"Away","Burnley",0,5,40,4
"96",2016-09-18,"Home","Watford",3,5,40,7
"119",2016-09-26,"Home","Burnley",3,6,40,7
"120",2016-09-26,"Away","Watford",0,6,40,7
"126",2016-10-01,"Home","Watford",1,7,40,8
"133",2016-10-02,"Home","Burnley",0,7,40,7
"157",2016-10-16,"Away","Watford",3,8,40,11
"158",2016-10-16,"Away","Burnley",0,8,40,7
"163",2016-10-22,"Home","Burnley",3,9,40,10
"175",2016-10-22,"Away","Watford",1,9,40,12
"186",2016-10-29,"Home","Watford",3,10,40,15
"189",2016-10-29,"Away","Burnley",1,10,40,11
"202",2016-11-05,"Home","Burnley",3,11,40,14
"219",2016-11-06,"Away","Watford",0,11,40,15
"228",2016-11-19,"Home","Watford",3,12,40,18
"240",2016-11-21,"Away","Burnley",0,12,40,14
"241",2016-11-26,"Home","Burnley",0,13,40,14
"256",2016-11-27,"Home","Watford",0,13,40,18
"270",2016-12-03,"Away","Burnley",0,14,40,14
"273",2016-12-03,"Away","Watford",0,14,40,18
"282",2016-12-10,"Home","Burnley",3,15,40,17
"286",2016-12-10,"Home","Watford",3,15,40,21
"314",2016-12-14,"Away","Watford",0,16,40,21
"320",2016-12-14,"Away","Burnley",0,16,40,17
"330",2016-12-17,"Away","Watford",0,17,40,21
"338",2016-12-18,"Away","Burnley",0,17,40,17
"342",2016-12-26,"Home","Burnley",3,18,40,20
"348",2016-12-26,"Home","Watford",1,18,40,22
"363",2016-12-31,"Home","Burnley",3,19,40,23
"378",2017-01-01,"Home","Watford",0,19,40,22
"388",2017-01-02,"Away","Burnley",0,20,40,23
"398",2017-01-03,"Away","Watford",0,20,40,22
"401",2017-01-14,"Home","Burnley",3,21,40,26
"407",2017-01-14,"Home","Watford",1,21,40,23
"428",2017-01-21,"Away","Watford",1,22,40,24
"438",2017-01-22,"Away","Burnley",0,22,40,26
"443",2017-01-31,"Home","Burnley",3,23,40,29
"448",2017-01-31,"Away","Watford",3,23,40,27
"467",2017-02-04,"Home","Watford",3,24,40,30
"475",2017-02-04,"Away","Burnley",0,24,40,29
"490",2017-02-11,"Away","Watford",0,25,40,30
"495",2017-02-12,"Home","Burnley",1,25,40,30
"505",2017-02-25,"Home","Watford",1,26,40,31
"510",2017-02-25,"Away","Burnley",1,26,40,31
"522",2017-03-04,"Home","Watford",0,27,40,31
"528",2017-03-04,"Away","Burnley",0,27,40,31
"546",2017-03-12,"Away","Burnley",0,28,40,31
"555",2017-03-18,"Away","Watford",0,28,40,31
"558",2017-03-18,"Away","Burnley",1,29,40,32
"567",2017-04-01,"Home","Burnley",0,30,40,32
"574",2017-04-01,"Home","Watford",3,29,40,34
"587",2017-04-04,"Home","Burnley",3,31,40,35
"590",2017-04-04,"Home","Watford",3,30,40,37
"616",2017-04-08,"Away","Burnley",1,32,40,36
"618",2017-04-08,"Away","Watford",0,31,40,37
"633",2017-04-15,"Home","Watford",3,32,40,40
"635",2017-04-15,"Away","Burnley",0,33,40,36
"652",2017-04-22,"Away","Watford",0,33,40,40
"655",2017-04-23,"Home","Burnley",0,34,40,36
"674",2017-04-29,"Away","Burnley",3,35,40,39
"687",2017-05-01,"Home","Watford",0,34,40,40
"692",2017-05-06,"Home","Burnley",1,36,40,40
"700",2017-05-06,"Away","Watford",0,35,40,40
"713",2017-05-12,"Away","Watford",0,36,40,40
"720",2017-05-13,"Away","Burnley",0,37,40,40
"732",2017-05-15,"Away","Watford",0,37,40,40
"742",2017-05-21,"Home","Burnley",0,38,40,40
"750",2017-05-21,"Home","Watford",0,38,40,40
"4",2016-08-13,"Home","Hull",3,1,34,3
"33",2016-08-20,"Away","Hull",3,2,34,6
"44",2016-08-27,"Home","Hull",0,3,34,6
"71",2016-09-10,"Away","Hull",1,4,34,7
"84",2016-09-17,"Home","Hull",0,5,34,7
"111",2016-09-24,"Away","Hull",0,6,34,7
"123",2016-10-01,"Home","Hull",0,7,34,7
"149",2016-10-15,"Away","Hull",0,8,34,7
"164",2016-10-22,"Home","Hull",0,9,34,7
"193",2016-10-29,"Away","Hull",0,10,34,7
"212",2016-11-06,"Home","Hull",3,11,34,10
"234",2016-11-19,"Away","Hull",0,12,34,10
"243",2016-11-26,"Home","Hull",1,13,34,11
"280",2016-12-05,"Away","Hull",0,14,34,11
"283",2016-12-10,"Home","Hull",1,15,34,12
"318",2016-12-14,"Away","Hull",0,16,34,12
"332",2016-12-17,"Away","Hull",0,17,34,12
"344",2016-12-26,"Home","Hull",0,18,34,12
"361",2016-12-30,"Home","Hull",1,19,34,13
"391",2017-01-02,"Away","Hull",0,20,34,13
"402",2017-01-14,"Home","Hull",3,21,34,16
"439",2017-01-22,"Away","Hull",0,22,34,16
"458",2017-02-01,"Away","Hull",1,23,34,17
"464",2017-02-04,"Home","Hull",3,24,34,20
"488",2017-02-11,"Away","Hull",0,25,34,20
"504",2017-02-25,"Home","Hull",1,26,34,21
"524",2017-03-04,"Away","Hull",0,27,34,21
"541",2017-03-11,"Home","Hull",3,28,34,24
"556",2017-03-18,"Away","Hull",0,29,34,24
"569",2017-04-01,"Home","Hull",3,30,34,27
"597",2017-04-05,"Home","Hull",3,31,34,30
"615",2017-04-08,"Away","Hull",0,32,34,30
"637",2017-04-15,"Away","Hull",0,33,34,30
"648",2017-04-22,"Home","Hull",3,34,34,33
"675",2017-04-29,"Away","Hull",1,35,34,34
"693",2017-05-06,"Home","Hull",0,36,34,34
"728",2017-05-14,"Away","Hull",0,37,34,34
"744",2017-05-21,"Home","Hull",0,38,34,34
"6",2016-08-13,"Home","Middlesbrough",1,1,28,1
"39",2016-08-21,"Away","Middlesbrough",3,2,28,4
"60",2016-08-28,"Away","Middlesbrough",1,3,28,5
"66",2016-09-10,"Home","Middlesbrough",0,4,28,5
"88",2016-09-17,"Away","Middlesbrough",0,5,28,5
"105",2016-09-24,"Home","Middlesbrough",0,6,28,5
"132",2016-10-01,"Away","Middlesbrough",1,7,28,6
"155",2016-10-16,"Home","Middlesbrough",0,8,28,6
"169",2016-10-22,"Away","Middlesbrough",1,9,28,7
"183",2016-10-29,"Home","Middlesbrough",3,10,28,10
"209",2016-11-05,"Away","Middlesbrough",1,11,28,11
"237",2016-11-20,"Home","Middlesbrough",0,12,28,11
"250",2016-11-26,"Away","Middlesbrough",1,13,28,12
"279",2016-12-05,"Home","Middlesbrough",3,14,28,15
"300",2016-12-11,"Away","Middlesbrough",0,15,28,15
"307",2016-12-14,"Home","Middlesbrough",0,16,28,15
"322",2016-12-17,"Home","Middlesbrough",3,17,28,18
"350",2016-12-26,"Away","Middlesbrough",0,18,28,18
"374",2016-12-31,"Away","Middlesbrough",0,19,28,18
"383",2017-01-02,"Home","Middlesbrough",1,20,28,19
"415",2017-01-14,"Away","Middlesbrough",1,21,28,20
"425",2017-01-21,"Home","Middlesbrough",0,22,28,20
"445",2017-01-31,"Home","Middlesbrough",1,23,28,21
"474",2017-02-04,"Away","Middlesbrough",0,24,28,21
"484",2017-02-11,"Home","Middlesbrough",1,25,28,22
"508",2017-02-25,"Away","Middlesbrough",0,26,28,22
"527",2017-03-04,"Away","Middlesbrough",0,27,28,22
"562",2017-03-19,"Home","Middlesbrough",0,28,28,22
"586",2017-04-02,"Away","Middlesbrough",1,29,28,23
"603",2017-04-05,"Away","Middlesbrough",0,30,28,23
"609",2017-04-08,"Home","Middlesbrough",1,31,28,24
"645",2017-04-17,"Home","Middlesbrough",0,32,28,24
"651",2017-04-22,"Away","Middlesbrough",0,33,28,24
"663",2017-04-26,"Home","Middlesbrough",3,34,28,27
"681",2017-04-30,"Home","Middlesbrough",1,35,28,28
"708",2017-05-08,"Away","Middlesbrough",0,36,28,28
"717",2017-05-13,"Home","Middlesbrough",0,37,28,28
"756",2017-05-21,"Away","Middlesbrough",0,38,28,28
"12",2016-08-13,"Away","Sunderland",0,1,24,0
"37",2016-08-21,"Home","Sunderland",0,2,24,0
"54",2016-08-27,"Away","Sunderland",1,3,24,1
"79",2016-09-12,"Home","Sunderland",0,4,24,1
"99",2016-09-18,"Away","Sunderland",0,5,24,1
"107",2016-09-24,"Home","Sunderland",0,6,24,1
"124",2016-10-01,"Home","Sunderland",1,7,24,2
"153",2016-10-15,"Away","Sunderland",0,8,24,2
"176",2016-10-22,"Away","Sunderland",0,9,24,2
"184",2016-10-29,"Home","Sunderland",0,10,24,2
"206",2016-11-05,"Away","Sunderland",3,11,24,5
"226",2016-11-19,"Home","Sunderland",3,12,24,8
"251",2016-11-26,"Away","Sunderland",0,13,24,8
"264",2016-12-03,"Home","Sunderland",3,14,24,11
"291",2016-12-10,"Away","Sunderland",0,15,24,11
"309",2016-12-14,"Home","Sunderland",0,16,24,11
"324",2016-12-17,"Home","Sunderland",3,17,24,14
"354",2016-12-26,"Away","Sunderland",0,18,24,14
"370",2016-12-31,"Away","Sunderland",0,19,24,14
"384",2017-01-02,"Home","Sunderland",1,20,24,15
"404",2017-01-14,"Home","Sunderland",0,21,24,15
"434",2017-01-21,"Away","Sunderland",0,22,24,15
"446",2017-01-31,"Home","Sunderland",1,23,24,16
"470",2017-02-04,"Away","Sunderland",3,24,24,19
"486",2017-02-11,"Home","Sunderland",0,25,24,19
"509",2017-02-25,"Away","Sunderland",0,26,24,19
"531",2017-03-05,"Home","Sunderland",0,27,24,19
"551",2017-03-18,"Home","Sunderland",1,28,24,20
"582",2017-04-01,"Away","Sunderland",0,29,24,20
"592",2017-04-04,"Away","Sunderland",0,30,24,20
"622",2017-04-09,"Home","Sunderland",0,31,24,20
"631",2017-04-15,"Home","Sunderland",1,32,24,21
"666",2017-04-26,"Away","Sunderland",0,33,24,21
"672",2017-04-29,"Home","Sunderland",0,34,24,21
"699",2017-05-06,"Away","Sunderland",3,35,24,24
"719",2017-05-13,"Home","Sunderland",0,36,24,24
"735",2017-05-16,"Away","Sunderland",0,37,24,24
"753",2017-05-21,"Away","Sunderland",0,38,24,24
